source,target
0,9
1,11
2,13
3,17
0,18
17,19
18,19
5,21
5,23
23,24
24,25
6,27
6,29
29,30
30,31
1,32
5,33
33,34
6,35
34,36
35,36
36,37
32,38
37,38
38,39
6,40
40,41
4,42
41,42
5,43
43,44
42,45
44,45
39,46
45,46
6,48
48,49
49,50
6,50
5,53
53,54
54,55
5,55
3,57
4,58
57,58
7,60
7,62
62,63
63,64
8,66
8,68
68,69
69,70
8,71
71,72
4,73
72,73
7,74
74,75
73,76
75,76
76,77
2,78
7,79
79,80
8,81
80,82
81,82
82,83
78,84
83,84
77,85
84,85
8,87
87,88
88,89
8,89
7,92
92,93
93,94
7,94
